	#JCAT	Satcat	Piece	Type	Name	PLName	LDate	Parent	SDate	Primary	DDate	Status	Dest	Owner	State	Manufacturer	Bus	Motor	Mass	MassFlag	DryMass	DryFlag	TotMass	TotFlag	Length	LFlag	Diameter	DFlag	Span	SpanFlag	Shape	ODate	Perigee	PF	Apogee	AF	Inc	IF	OpOrbit	OQUAL	AltNames
2702	S02703	02703	1967-020A	P           	OSO 3	OSO E1	1967-03-08	S02704	1967 Mar  8 1625?	Earth	1982 Apr  4	R	-	GSFC	US	BALL	OSO	-	     284 	 	    284 	 	     284 	 	   0.9 	 	  2.3 	 	    2.3 	 	Cyl + Sail + 2 Ant	1967 Apr  7	     537	 	     565	 	 32.87 	 	LLEO/I	-	-
2742	S02743	02743	1967-031A	P           	ATS 2	ATS A	1967-04-06	S02744	1967 Apr  6 0523	Earth	1969 Sep  2	R	-	GSFC	US	HSES	HS-306	-	     325 	 	    325 	 	     325 	 	   1.8 	 	  1.4 	 	   77.0 	 	Cyl + 2 Ant	1967 May  8	     186	 	   10767	 	 28.46 	 	MEO	-	-
2755	S02756	02756	1967-035A	P   D       	Surveyor 3	Surveyor SC-3	1967-04-17	S02764	1967 Apr 17 0740	Earth	1967 Apr 17 2208	DSO	D00150	JPL	US	JPL	Surveyor	TE-364-5 A2	     376 	 	    302 	 	    1036 	 	   2.9 	 	  2.2 	 	    4.3 	 	Truss + 3 Leg	1967 Apr 17	     167	 	  492121	 	 29.90 	 	CLO	-	-
2816	S02817	02817	1967-051A	P   D       	IMP 4	IMP F	1967-05-24	A01183	1967 May 24 1421	Earth	1967 May 25 0810?	DSO	D00156	GSFC	US	GSFC	IMP	-	      74 	 	     74 	 	      74 	 	   0.3 	 	  0.7 	 	    4.0 	 	Oct Cyl + 4 Pan + 2 Ant	1967 Oct 27	     242	 	  214382	 	 67.17 	 	DSO	-	Explorer 34
2844	S02845	02845	1967-060A	P   D       	Mariner 5	Mariner 67-2	1967-06-14	S02846	1967 Jun 14 0627	Earth	1967 Jun 16?	DSO	D00164	JPL	US	JPL	Mariner	-	     245 	 	    235 	 	     245 	 	   2.9 	 	  1.3 	 	    5.5 	 	Oct Cyl + 4 Pan	1967 Jun 14	     184	 	 -105464	 	 30.31 	 	EEO	-	-
2874	S02875	02875	1967-068A	P   D       	Surveyor 4	Surveyor SC-4	1967-07-14	S02883	1967 Jul 14 1206	Earth	1967 Jul 16	DSO	D00166	JPL	US	JPL	Surveyor	TE-364-5 A2	     382 	 	    299 	 	    1042 	 	   2.9 	 	  2.2 	 	    4.3 	 	Truss + 3 Leg	1967 Jul 14	     167	 	  554098	 	 30.56 	 	CLO	-	-
2883	S02884	02884	1967-070A	P   D       	Explorer 35	AIMP E	1967-07-19	A01218	1967 Jul 19 1443	Earth	1967 Jul 22?	DSO	D00172	GSFC	US	GSFC	AIMP	-	      67 	 	     67 	 	      67 	 	   0.5 	 	  0.7 	 	    4.4 	 	Oct Cyl + 4 Pan + 2 Ant	1967 Jul 19	     650	 	  557687	 	 29.34 	 	CLO	-	-
2894	S02895	02895	1967-073A	P           	OGO 4	OGO D	1967-07-28	S02896	1967 Jul 28 1430	Earth	1972 Aug 16	R	-	GSFC	US	TRW	OGO	-	     551 	 	    551 	 	     551 	 	   1.7 	 	  0.8 	 	   19.0 	 	Box + 2 Pan + 2 Ant	1967 Aug 28	     411	 	     896	 	 86.00 	 	LEO/P	-	NASA S-50A
2934	S02935	02935	1967-083A	P           	Biosatellite 2	Biosatellite B Adapter	1967-09-07	S02936	1967 Sep  7 2213	Earth	1967 Oct  4	R	-	ARC	US	GERSD	Biosatellite	-	     194 	 	    194 	 	     435 	 	   2.1 	 	  1.4 	 	    2.1 	 	Cyl + Frust	1967 Sep 16	     289	 	     313	 	 33.46 	 	LLEO/I	-	Biosatellite S/N 301
2936	S02937	02937	1967-084A	P   D       	Surveyor 5	Surveyor 5	1967-09-08	S02938	1967 Sep  8 0816	Earth	1967 Sep 10	DSO	D00180	JPL	US	JPL	Surveyor	TE-364-1 A2	     369 	 	    289 	 	    1006 	 	   2.9 	 	  2.2 	 	    4.3 	 	Truss + 3 Leg	1967 Sep  8	     174	 	  562308	 	 29.80 	 	CLO	-	-
